text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!",Mon Jan 01 13:37:52 +0000 2018,Twitter for iPhone,False,8656,,Mon Jan 01 13:37:52 +0000 2018
"Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!",Mon Jan 01 12:44:40 +0000 2018,Twitter for iPhone,False,15176,25073877,Mon Jan 01 12:44:40 +0000 2018
"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp; deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",Mon Jan 01 12:12:00 +0000 2018,Twitter for iPhone,False,51483,,Mon Jan 01 12:12:00 +0000 2018
"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!",Sun Dec 31 23:43:04 +0000 2017,Twitter for iPhone,False,35394,,Sun Dec 31 23:43:04 +0000 2017
"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!",Sun Dec 31 22:18:20 +0000 2017,Twitter for iPhone,False,39698,,Sun Dec 31 22:18:20 +0000 2017
"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!",Sun Dec 31 22:00:21 +0000 2017,Twitter for iPhone,False,28128,,Sun Dec 31 22:00:21 +0000 2017
"What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG",Sun Dec 31 19:06:52 +0000 2017,Media Studio,False,26633,,Sun Dec 31 19:06:52 +0000 2017
"My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM",Sun Dec 31 18:36:28 +0000 2017,Twitter for iPhone,False,17041,,Sun Dec 31 18:36:28 +0000 2017
"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts &amp; more?",Sun Dec 31 13:36:32 +0000 2017,Twitter for iPhone,False,26035,,Sun Dec 31 13:36:32 +0000 2017
"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY",Sun Dec 31 13:26:29 +0000 2017,Twitter for iPhone,False,14478,,Sun Dec 31 13:26:29 +0000 2017
Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squandered on terrorism. Looks like they will not take it any longer. The USA is watching very closely for human rights violations!,Sun Dec 31 13:03:29 +0000 2017,Twitter for iPhone,False,30412,,Sun Dec 31 13:03:29 +0000 2017
“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh,Sun Dec 31 04:46:21 +0000 2017,Twitter for iPhone,False,13096,,Sun Dec 31 04:46:21 +0000 2017
"Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!",Sat Dec 30 22:42:09 +0000 2017,Twitter for iPhone,False,24332,,Sat Dec 30 22:42:09 +0000 2017
"I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair “press,” now often referred to as Fake News Media. Phony and non-existent “sources” are being used more often than ever. Many stories &amp; reports a pure fiction!",Sat Dec 30 22:36:41 +0000 2017,Twitter for iPhone,False,50342,,Sat Dec 30 22:36:41 +0000 2017
"On Taxes: “This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 years ago.This is a huge pro-growth stimulus for the economy. Every year the Obama WH overstated how the economy would grow. Now real economics and jobs.” @WSJ Report",Sat Dec 30 21:12:45 +0000 2017,Twitter for iPhone,False,16703,,Sat Dec 30 21:12:45 +0000 2017
"Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The world is watching! https://t.co/kvv1uAqcZ9",Sat Dec 30 19:02:53 +0000 2017,Twitter for iPhone,False,23270,,Sat Dec 30 19:02:53 +0000 2017
"The entire world understands that the good people of Iran want change, and, other than the vast military power of the United States, that Iran’s people are what their leaders fear the most.... https://t.co/W8rKN9B6RT",Sat Dec 30 19:00:54 +0000 2017,Twitter for iPhone,False,23532,,Sat Dec 30 19:00:54 +0000 2017
"Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nation’s wealth to fund terrorism abroad. Iranian govt should respect their people’s rights, including right to express themselves. The world is watching! #IranProtests",Sat Dec 30 03:42:58 +0000 2017,Twitter for iPhone,False,60821,,Sat Dec 30 03:42:58 +0000 2017
"The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration &amp; ridiculous Lottery System of Immigration etc. We must protect our Country at all cost!",Fri Dec 29 13:16:11 +0000 2017,Twitter for iPhone,False,35208,,Fri Dec 29 13:16:11 +0000 2017
"Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages, making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!",Fri Dec 29 13:04:09 +0000 2017,Twitter for iPhone,False,27652,,Fri Dec 29 13:04:09 +0000 2017
"RT @charliekirk11: Incredible video: @CBS does a special on the GOP tax plan 

The result?

Every middle class family they sat down with SA…",Fri Dec 29 12:50:17 +0000 2017,Twitter for iPhone,True,15548,,Fri Dec 29 12:50:17 +0000 2017
"RT @charliekirk11: ISIS getting slaughtered: 

Square miles liberated from ISIS
Trump: 26,000 --  Obama: 13,200

Total Square miles held by…",Fri Dec 29 12:50:00 +0000 2017,Twitter for iPhone,True,18726,,Fri Dec 29 12:50:00 +0000 2017
"RT @FoxBusiness: .@charliekirk11: ""What this president has done is truly historic, and if a Democrat president achieved 1/10th of what @POT…",Fri Dec 29 12:48:57 +0000 2017,Twitter for iPhone,True,11060,,Fri Dec 29 12:48:57 +0000 2017
"RT @charliekirk11: 3 big wins in 2017 you won't hear:

Trump confirmed the most circuit court judges ever in a President's 1st year (all co…",Fri Dec 29 12:48:15 +0000 2017,Twitter for iPhone,True,16174,,Fri Dec 29 12:48:15 +0000 2017
"While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage &amp; Russia hoax!",Fri Dec 29 12:46:23 +0000 2017,Twitter for iPhone,False,23184,,Fri Dec 29 12:46:23 +0000 2017
"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",Fri Dec 29 00:01:47 +0000 2017,Twitter for iPhone,False,65929,,Fri Dec 29 00:01:47 +0000 2017
"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m",Thu Dec 28 23:14:21 +0000 2017,Twitter for iPhone,False,15516,,Thu Dec 28 23:14:21 +0000 2017
"RT @realDonaldTrump: “Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn",Thu Dec 28 22:17:55 +0000 2017,Twitter for iPhone,True,21183,,Thu Dec 28 22:17:55 +0000 2017
"RT @DanScavino: Congratulations to the 2017 @PinstripeBowl (Yankee Stadium) Champions, Iowa @HawkeyeFootball! https://t.co/NlaWU6bKmH",Thu Dec 28 22:17:36 +0000 2017,Twitter for iPhone,True,2231,,Thu Dec 28 22:17:36 +0000 2017
"RT @EricTrump: #ThrowbackThursdays 
@realDonaldTrump 🇺🇸🇺🇸🇺🇸 https://t.co/Z44IObGZ7V",Thu Dec 28 22:17:06 +0000 2017,Twitter for iPhone,True,6612,,Thu Dec 28 22:17:06 +0000 2017
RT @IvankaTrump: “The Trump economy is booming.” One thing @realDonaldTrump “has done that has received little attention despite arguably d…,Thu Dec 28 22:16:29 +0000 2017,Twitter for iPhone,True,11872,,Thu Dec 28 22:16:29 +0000 2017
"I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO",Thu Dec 28 19:20:47 +0000 2017,Twitter for iPad,False,26402,,Thu Dec 28 19:20:47 +0000 2017
Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a friendly solution to the North Korea problem if this continues to happen!,Thu Dec 28 16:24:08 +0000 2017,Twitter for iPhone,False,31963,,Thu Dec 28 16:24:08 +0000 2017
Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!,Thu Dec 28 16:18:20 +0000 2017,Twitter for iPhone,False,21499,,Thu Dec 28 16:18:20 +0000 2017
"Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit they took at Crooked H. Anna Wintour, who was all set to be Amb to Court of St James’s &amp; a big fundraiser for CH, is beside herself in grief &amp; begging for forgiveness!",Thu Dec 28 15:24:53 +0000 2017,Twitter for iPhone,False,14587,,Thu Dec 28 15:24:53 +0000 2017
